,reviews
66,I can grade iPhone 4S at the level of 4 star.it is very use ful as phone as well as 3G net.It is more updated in compare to my iPad and is a very good friend for all time. Without any doubt anybody can choice it as no.1 in mobile and net connection
67,Thank you
68,Leaves nothing to say. Proven phone. Proven brand.Good for parents who want to Facetime and use few apps and memory. Great offer @ 13K.Great service with 1 day delivery.
69,"my phone is not working fine its going bit of hang and respond bit of later at the time of making call and battery backup is not fine, it's discharge very earliest compare than other even am not a phone addicted person."
70,SIM card is not registered in this iphone 4S which i brought from amazon.does this phone requires to unlock or something.please help.
71,Good
72,I am happy in getting this phone at an affordable price thanks to amazon for providing at great price
73,Good quality
74,Best mobile I ever used
75,"Amazing ! Pleasant to hold the Apple , OfCourse we have to be careful since it may fall to the ground, if you don't tighten your grip! It looks like holding a nice fingers of a girl!"
76,"It looks refurbished,a tiny air bubble on the diplay, hard to notice otherwise.Got some opinion from experts who told that this may be the returned product, refurbished by apple and thus sold on discount."
77,"itz showing good performance. the only problem that i faced is ' getting heat while charging'. As it is common for all smartphones, 4s is money worth. go for it."
78,iPhone 4s battery is very low quality product. Always you have to charge your mobile and you will getting frustrated where to charge and u have to keep the charger evrey where you travel.
79,"Very bad quality, not sure if its an original one. The phone is very slow and hangs often."
80,Gud
81,awsome
82,Ok
83,"it is good, but it has only one issue, that is its heating issue."
84,"its working fi9 lets see ,but have heating issue and battry drain out within 6 hours if you r working rigorously rest is fi9 the fear is dont have expandable memory"
85,Nice .... Super delayed delivery
86,I'm using iPhone 4s from last 2 months. Its working very smoothly after iOS 8.4 update. The only problem with this phone is its memory! Usable memory is quiet less. Still a worth purchase!
87,Features of fone is outdated. It's not new version of iphone 4s. It's old version. Charge pin slot is very old and not available in market.
88,Good product genuine delivered fast. Made in USA assembled in China. Made in Jan 2015. Working without problem for last 7 days
89,why my iphone is start heating when i m charging or suffering internet. hate this problem nd diz phonesuch a bad phone i hve evr purchased >:(
90,It is good but within one and half year I need to change the battery. otherwise it is fine.
91,ULTIMATE SHIIPING OF AMAZON GENUINE SEALED PACK IPHONE RECICVED NO COMPLAINTS AT BEST LOWEST PRICE.
92,4 stars from myside to apple..good phone @ this price range.. Apple is Apple ever and great product from apple..Amazon service is good on date delivery
93,good phn like a business phn but not gud for gamers like me. 3rd party apps lags a lot even xender a simple transfer app lags a lot. gud for normal use like calling etc.
94,Really great service from Amazon a tension free service from amazon.Apple iPhone is no match to a normal smartphone its a class apart until you experience it.
95,Please dont buy it. Its not a genuine product i ordered and got in couple of days but i have various issues in phone like no speaker working and battery dries with in 6 hours really surprised
96,"Being a die hard fan of Apple, I purchase iphones through Amazon because they're the best e-sellers out in the market whom you can believe and buying a product from Amazon & Apple is a 5 star experience..."
97,I am not sure why this phone gets so hot. Miserable to use.Gifted to parents and they are dis-satisfied.
98,"Good phone for normal use. Gets bit heated while charging. Battery is below average. Gets drained quickly while using even some small apps. Above all, its ""Apple""."
99,"Complete Satisfaction , Apple's Smartphone is Worth every penny. IPhone is an magical virtual world gives us power to explore theworld."
100,In this price range its totally awesome n unbelievable just 18500
101,Apple-The name is enough.
102,Good phone and good price @amazon
103,There are issues with the battery and also with the display of the phone. Its a very old model with glossy screen. The more recent models come with matte screens.
104,Wrost...Speakers not working...Stricking...Feeling pathetic with this product on Amazon...@
105,shipping was pretty bad. got this phone after 7 days. product was original and working flawless.
106,Awesome phone... One of the best product by Apple.Delivery was a bit delayed by Amazon. I hope they will take care in future.
107,"Really wonderful product and rates are comparatively less in Amazon with other eshops.Good.. Keep it up, Expecting a good deals in Feature."
108,"the charger stop working after one month, was not original apple, phone is ok but charger is problem, can amazon help and change it and provide original charger"
109,"Voice of opposite person was not audile at all, returned the product. Amazon service was beautiful."
110,Good experience
111,My iPhone is faulty. Its one speaker is not working. I think this iphonr might have used. I have queried for return. Thank toAmazon.in is working better and easy return policy
112,"its very bad product ,, dont promote any body ,,  its duplicate item"
113,this is my first iphone and it's awesome....but it's little bit slow since my OS updated to IOS7...which is having issues with iphone4s...can anyone help me here...
114,Still i have not opened box of my iphone but I am sure that i will not be facing any problem..Thank you..
115,"Phone works nicely, only battery exhausts much quickly as compared to other  smart phones. As of now it is a good product. Only problem I had was delayed  delivery."
116,best best best in class
117,Foff
118,"Product and delivery is good.But I have a technical issue , I could'nt be able to zoom when i take a video unlike taking photos. It would be great if I get some clarification on this."
119,"product which was received was not in good condition ,speaker problem."
120,the charger and the earphones were duplicate and had faced lot of harassment for this. Will have to rethink for buying electronis from Amazon...quite risky !!!
121,No doubt it is excellent phone but u should have some prior knowledge  about it otherwise  u may face some small issues like phone getting hung and not responding etc .
122,Good Phone
123,Ok
124,I like it very much comfortable to use easy...  more features perfact in shape such a good service of amazon... i recommed to the pople who buy products from amazon is safe and best ones....
125,Gud. Only space is constraints as it has 8GB only.
126,Good
127,"Awesome delivery on the next day of order.Phone working fine , been using for 20 days now.Seems genuine.Saved 3-4kHappy for now."
128,Good phone but phone gets heated up fast and battery doesn't last long.
129,nice
130,Product was genuine and i've been using it for few weeks now and i'm enjoying itAs usual amazon service was great :)Thumbs up
131,The Phone is fab. Don't found any problem. I was afraid because of  some of the negative reviews but in actual found that reviews wrong. Thanks Amazone.
132,SAD !!!!!The product came out to be defective.It had some display issue.I returned back product to amazon after 15 days and got my whole refund on just next day.Thank you amazon for such a secure shopping.
133,it's good offer to buy this product received as same as the picture.
134,The product is just Awesome. I liked it very much. It's brand new pack piece and I just loved it so much.Thanks Amazon for giving Such a beautiful Service (y) :)
135,I am using apple product for the first time and am loving it... before I used to have bb I thought I will face difficulty in adapting to ios but its gr8
136,It was really great shoping with you!.. It was neatly packd and evn the phone is a clean and a awsme phone!! And as of the phone-you knw it.jus amazing phone!Thank you guyz!
137,"Very happy with the phone. Only the charger seems to be a little loose. Need to get that fixed. If that was ok, this would have been a 5-star rating"
138,Product is not good.. It's defeated pics
139,I found the phone per the expectations and the good reviews written for the same. I would recommend it for others who would like the same configuration.
140,Loved it As always Amazon ...Good One
141,"very good, i purchase one phone i used  the phone it very help to use and again i purchase same i 4s phone on the amazon .inthank you"
142,Its a good phone who loves small compatible size.Battery might be small problem who uses Data continuously....  Satsified with the mobile
143,Superb
144,Its nice Phone.. buy itNice SpeedGood Battery BackupNice AppsStrong Bodygood cameraAmazon One day delivery  was nice
145,The Phone did not start at all. It was a defective piece. Did not expect this from amazon.
146,"Item arrived on next day of purchase, Item was packed by hard paper. It was Diwali gift to my wife and she is enjoying of using it. One request is, delivery time should be intoned to buyer. So that I do not need to stay at home for almost all day for receiving it."
147,"Was Value for money, worth buying online and after paying delivery charges , the same was delivered Next day..."
148,Good phone for ordinary use.
149,The product gave complaints within one month of purchase. Had to replace the piece from local Iphone gallery. After replacement from gallery it is working fine.
150,"as expected, it's excellent."
151,Great buy. Except for the lower memory no regrets. 8 Gb is not adequate and can't think of storing music and videos.
152,Good
153,Good quality
154,GOOD
155,Charger has stopped functioning.....iphone centre button is at times hard....Need replacement of charger....a better and one which charges faster and also LASTS atleast the warranty period...
156,"gets very heated from very first day,also came with ios8.2 pre-installed which is other then the specification provided in the website for this phone.want a replacement/refund."
157,Bot this for mother. Happy with the phone. Delivery was way too quick. Received it in 1 day with no extra charges!
158,"there is issue white spot found  (It's actually more of a streak, and no it's not a smudge from my thumb)..the product is awesome ...but not my"
159,Very nice
160,Love this phone ... Great service from Amazon...
161,"Working good , nothing to complaint"
162,i was really exited to use this and now i'm really pissed off of using this. Because i don't kw i ordered iPhone or iron box its getting damn heat within minutes :(
163,I am using my iphone for 1 years still there no complaint yet just go for it just go
164,"Totally shocked when I open the sealed pack iPhone 4s & it not working,only on while putting on charging.Same  day I have to run 🏃 to authorize Apple 🍎 service centre.It's totally bad experience."
165,Great product. No lagging and battery is great.
166,Memory is too short
167,I think online purchasing is not..i bought apple 4s & is too good
168,Nice phones its working fine.
169,Perfect
170,Had to return it back because it was defective. Really waited for it and my expectations were flushed when it didn't work properly :(
171,i wish i had spent it on other models.. 14k wasted.. hv already put it on olx and there are no takers for 15days old at 12k
172,Brand new phone.....loving it.... Amazon n cloudtail are simply superb... Full one year warranty..... Great packaging... Amazon is the best
173,great phone & feature but little proble phone heating when plug in chargecharging speed is too fast
174,Excellect product. Very fast delivery.Iphone is awsome but battery drains very fast :(
175,Firstly It was a gr8 price factor given by amazon.in. Nice service and above all product in not at all second hand or reconditioned one.
176,So bad service is not good & quality also low ...When plug to charge mobile get over heat
177,Legendary phone.....gr8 service by amazon....i m loving it!!! I hv used many phones but after using all of them i hv realised that there is no match for a iphone
178,"poor quality of voice via headphone, performance is also poor. Hanging issueNot at all satisfied with it."
179,Super
180,Does give some issues. Wonder if is a refurbished one sold as a new one.
181,No Issues so far.
182,The platform like iPhone suits me in all the way I would like to as well as makes me happy with wifi linked with net.
183,bad performance
184,"i like very much,really very  good,very very use full,its look like support me,good good good good."
185,AMAZING... thanks..
186,Good packaging and the product quality
187,Ultimate product which i have recieved. I am very happy with this. Very good service by amazon. The best phone i have ever had
188,It was awesome...
189,No issues. Works as expected.
190,excelent super i am happy with supar deal i got it in only 15699
191,It's a superb phone it looks premium it feels premium in ur hand and great price &dont compare with plastic phones like Samsung or any body
192,because the internal memory was not big so i cannot perform any task
193,Genuine product received and the delivery was in  time.
194,vow product
195,"Very good case, perfect fit for my iPhone 4s..Worth the money, and good quality. Good product.Highly recommended !!!"
196,It's too slow in terms of operating systems.
197,Can i Replace My Iphone 4s with iphone 5s
198,U have given us a defected piece its speakers are not working
199,"I got the real product, Amazon is doing good"
200,I am fully satisfied and appreciate that the product is genuine.  Its good that the seller shipped the product very quickly
201,"very good service and amzing shoping experience..............,very good and very very very very very very good service i like it."
202,Display  damage  what at garuntee
203,loved it
204,awesone
205,Good But Product pick up Heat when running Internet
206,Very good phone in this prize range and we get cheapest priced phone here
207,Who am I to comment on it? World knows it.
208,Product comes on time but the using the FaceTime there is no sound I don't know what to do
209,NC I LOVE IT
210,Best Product...Best Quality....Best price...Really its Working Properly...fully liked it...
211,"good item, and packed arrvied safely execpt little dlay but still fine"
212,Nice Product!!! Thanks to amazon for giving geniune product at good discount... No others can rock like amazon.in
213,"Very slow, not as per apple fame, hardware quality very high, display is clear but very slow internet."
214,"Display issues, now fixed after latest 8.2 iOS launch"
215,"Delivered on time, Phone is good battery backup is also good and compatible with IOS 8.4 as well."
216,Got the phone in time from Amazon. Thank youThe phone arrived in time and was well packed in a box.
217,Nothing to mention about Apple Products!!
218,Awesome Phone
219,Good products
220,good and i am waiting for my Gift Card of Rs. 850 which was given offer while purchase
221,Good Phone.
222,pricing is not good as it was dropped suddenly after my purchase and there was no price match for it. Not a satisfied customer
223,NICE PRODUCT
224,"very good product ,with all new ios 7,no need to update,gr8 packing by amazon,,recived it in seal pack with perfect bill"
225,Ultimate device ....I am a big quality fan of apple.
226,"It's performance is good ,amazon service is very good"
227,Voice quality very pathetic
228,nice phone too but I expected more
229,It's working good.
230,Its doing a good job
231,good cell camera clarity is awesome both front as well rear .
232,it's really good.quality is also good.according to its price the deal is superb.
233,Received my product well in advance without any damages.. I'm just loving it - thanks guys !!!!
234,"Mobile is Good and its working well ,Amazon's service is superb"
235,Good
236,Awesome Phone and Delivery also fast
237,nice
238,Its good no problem so far.
239,Product is good.but quality of incoming voice is very low.so I had return back...
240,"Two months it worked properly... later started issues with key board, camera etc.."
241,Very Poor battery life.. Extremely not satisfied with this. Not able to find it with ten days
242,Just get it!
243,nice phone
244,i purchased this on 09 jun ...06 months working excellent.....
245,Love it . No problem and got it for good price. Thanks Amazon !!!!
246,It was my pride to carry an I phone and I am very happy with the product I received from Amazon
247,I am not able to download any software on it . Please tell me where i can go to make it working correct
248,Extremely nice phone. Easy and fast UI. Just that it has a lesser memory so things like photos on FB take a while to upload
249,It's great. I am happy with it. Few features are very good.well done .fantastic.it is fun to have this phone
250,Apple Name enough for it.. <3
251,"Amazing, gorgeous look and fantastic performance."
252,"Xcellent product , quick delivery ."
253,Unbeatable
254,Nice Seller. Product worth on the price 15.5 K. Network seems to be a problem.
255,"meet as per my expectation and deliverd in time  , phone is very much impressive got sealed pack brand new"
256,Its apple man u can exchange it in any apple showroom iPhone is the best
257,I got the defective item but thanks to amazon for refund
258,It is good product.
259,"jhatang.fatang,rapchik,dhinchak,jhakas bole to ekdum raapchik"
260,Very poor camera and quality is very poor dont buy this product
261,The phone is brand new and working perfectly. No issue. Totally satisfied
262,My first iPhoneI am just feeling like I am in heaven
263,Nyc product
264,Good experience so far .  Lets see how the product is once it arrives
265,It was nice Product but when i have checked phone warranty it was show me 75 days was over.
266,Delivered as expected without any issues.
267,This is really good one. mamory is show only 6GB. Means IOS is 2 GB.
268,Got a seal pack iphone !! No complaints at all... Recieved late but no issues with phone
269,awesome phone
270,Damaged product... However they returned it smoothly..
271,Phone is good. but please provide a bil which includes the IMEI NO. And other details.
272,EXCELLENT PRODUCT ONLY ONE DRAWBACK THAT IS BATTERY BACK UP  IS VERY POOR
273,"The Delivery was on time, phone works fine. So far so good."
274,good n genuine product but heats too fast n its a bit slow
275,This phone is veey good set
276,Really its a good phone U will happy to buy this product.
277,nice product by apple.and soo cheaplove this product
278,Great phone. Amazon packing was also good and the phone is also working good
279,Good
280,Good Product
281,it was delivered real fast and the is also really good.
282,good
283,nice deal and off-course good product.reached on time with nice packing.
284,EXCELLENT PRODUCTVERY GOOD QUALITYFAST DELIVERY
285,Duplicate charger and earphone..
286,good but i dont know why battery is running out veryfast.
287,Good and prompt delivery
288,"GOOD MOBILE AT GOOD PRICE WITH NO.1 BRAND APPLE, THANKS AMAZON."
289,Good phone and good vendor transported feast.
290,My bro is happy with the piece
291,good phone and very excellent delivery speed
292,awesome
293,I received a damaged product
294,good
295,very nice!!!!!!!!!
296,Perfectly working
297,It was new and was in very good condition
298,Only 1 speaker working :-(
299,"It's working fine. Battery backup is bit of a drag, otherwise i am satisfied."
300,nice product comes by amazone but freebees not come with
301,GOOD.
302,I got the iPhone which was imported in July 2014(1 year old manufactured)
303,Awesome
304,Good phone learning to use apple was using android previously.
305,Very good phone and in my budget too
306,Worst
307,Nice phone on this price range...
308,no problem at all. nice product.thanks amazon.
309,Good and working fine
310,On time delivery as committed was excellent.
311,The only way super
312,phone is working perfectly since purchase
313,Good service by amazon and excellent phone given by techfone company. Thank you
314,HATS OFF TO IPHONE
315,Yes
316,Ok awesome mobiles and i delivered in 2 3 days always in jalandhar city
317,Ipjone is not working
318,Good Product but have problem with the vibrator.
319,Good phone good service from seller
320,very nice
321,Amazon iPhone selling price is fabulous
322,Excellent
323,Not experience with apple and Amazon.
324,Good phonenice delivery by amazon
325,Good...
326,Excellent Customer Care Support! Really appreciated
327,External device Bluetooth should also include in price.
328,THE  4s 8gb  product was not good  i am never prch next time
329,"up to my expectation .. handy, stylish and performance ..."
330,iPhone is good for rough using
331,nice produt
332,Excellent
333,problem of hanging:(
334,Super phone i love it a lot
335,its hang many many times.amazon ur repution is going down.
336,Its an awesome deal ! Go for it !
337,GOOOOD
338,Best phone
339,Really very good.  Till now no complaint s
340,"Battery heats up very quickly, voice issue too. Not sure if this is a original product."
341,love it
342,Little problems while connecting to the network...
343,good one
344,Good Deal
345,Good job amazon is best now looking for great deals
346,It was very nice...in cheap price 👍👍
347,No. The unit which i received was refurbished
